Titre : Paiements;;;;;;;;;;;;;;;;
Compte client : 78569MELJACStandardDomestiqueEUR;;;;;;;;;;;;;;;;
Export r�alis� le : 21/03/2024;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Raison sociale;SIREN;NIC;Code acheteur;Ma référence;Mode de paiement;Date de saisie;Montant (EUR);Montant affecté (EUR);Solde;Statut;Numéro de paiement;Date d'échéance;Motif de non affectation;Nom du donneur d'ordre;Numéro du document;Type de document
BATIROD;1000069;;1000069;;Virement;11/10/2023;1 572,16;1 572,16;0;Paiement affecté;70259960;;;BATIROD;400001316;Facture
HOTEL FELICIEN;1000766;;1000766;;Virement;11/10/2023;2 445,32;2 445,32;0;Paiement affecté;70259961;;;HOTEL FELICIEN;400001315;Facture
FANTON D'ANDON;1000100;;1000100;;Virement;11/10/2023;1 064,48;1 064,48;0;Paiement affecté;70259962;;;FANTON D'ANDON;plusieurs documents associés;SOLDE
HIN PLUS;1004388;;1004388;;Virement;11/10/2023;191,69;191,69;0;Paiement affecté;70259963;;;HIN PLUS;400000793;Facture
FINEST INTERIORS;1006707;;1006707;;Virement;11/10/2023;50,56;50,56;0;Paiement affecté;70259964;;;FINEST INTERIORS;400000764;Facture
FRANKLIN AZZI;1000104;;1000104;;Virement;11/10/2023;187,36;187,36;0;Paiement affecté;70259965;;;FRANKLIN AZZI;400000009;Facture
ONLYTEC SP.Z O.O.;1003104;;1003104;;Virement;10/10/2023;272,63;272,63;0;Paiement affecté;70259966;;;ONLYTEC SP.Z O.O.;plusieurs documents associés;SOLDE
HED CINEMA LTD;1000698;;1000698;;Virement;10/10/2023;441,33;441,33;0;Paiement affecté;70259967;;;HED CINEMA LTD;400002373;Facture
ETABLISSEMENTS TECHNIQUES FRAGNIÈRE;1004824;;1004824;;Virement;10/10/2023;145,00;145,00;0;Paiement affecté;70259968;;;ETABLISSEMENTS TECHNIQUES FRAGNIÈRE;400002372;Facture
ETABLISSEMENTS RAVAT BAINEE;1001859;;1001859;;Virement;10/10/2023;50,52;50,52;0;Paiement affecté;70259969;;;ETABLISSEMENTS RAVAT BAINEE;400001314;Facture
MONTBLANC RENOV'ALL;1002193;;1002193;;Virement;10/10/2023;166,36;166,36;0;Paiement affecté;70259970;;;MONTBLANC RENOV'ALL;400001313;Facture
GUIJARRO JEAN PIERRE;1001197;;1001197;;Virement;10/10/2023;265,13;265,13;0;Paiement affecté;70259971;;;GUIJARRO JEAN PIERRE;400001146;Facture
SAMMAN GROUP;1000160;;1000160;;Virement;10/10/2023;4 279,33;4 279,33;0;Paiement affecté;70259972;;;SAMMAN GROUP;400000990;Facture
STYLAGOS;1001686;;1001686;;Virement;10/10/2023;279,49;279,49;0;Paiement affecté;70259973;;;STYLAGOS;400000913;Facture
